benchmark,config,avg_sim
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.UndoLocalEdit.smt2,,13.9
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__ReferenceType.__default.Root.smt2,,21.35
d_fvbkv/Betree-Graph.i.dfy.Impl__Graph.__default.AcyclicGraphImpliesSimplePath.smt2,,15.38
d_fvbkv/Betree-Graph.i.dfy.Impl__Graph.__default.LocalEditPreservesAcyclic.smt2,,14.2
d_fvbkv/Betree-Graph.i.dfy.Impl__Graph.__default.UnallocPreservesAcyclic.smt2,,13.53
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.GetPenultimateState.smt2,,17.52
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.IsStatePath.smt2,,18.48
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.MakeTransaction1.smt2,,18.38
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.MakeTransaction2.smt2,,18.57
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.MakeTransaction3.smt2,,18.38
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.OpTransaction.smt2,,18.37
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.Reads.smt2,,19.18
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.Transaction1Steps.smt2,,18.21
