benchmark,config,avg_sim
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.InsertMessageStepRefinesMap.smt2,,87.07
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.LookupImpliesMap.smt2,,87.98
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.PreservesLookupsImplInterpsEqual.smt2,,87.52
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.PreservesLookupsPutImplInterpsPut.smt2,,87.17
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.QueryStepRefinesMap.smt2,,87.08
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.RedirectRefinesMap.smt2,,87.45
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.RefinesInit.smt2,,87.8
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.RefinesNext.smt2,,88.03
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.RefinesNextStep.smt2,,88.19
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.SuccQueryStepRefinesMap.smt2,,87.81
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.BetreeStepRefinesMap.smt2,,88.05
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.FlushStepRefinesMap.smt2,,88.2
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.GCStepRefinesMap.smt2,,88.5
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.GrowStepRefinesMap.smt2,,88.42
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.InsertMessageStepRefinesMap.smt2,,88.25
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.LookupImpliesMap.smt2,,88.76
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.PreservesLookupsImplInterpsEqual.smt2,,88.26
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.PreservesLookupsPutImplInterpsPut.smt2,,87.18
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.PreservesLookupsRev.smt2,,87.74
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.PreservesLookupsRevExcept.smt2,,88.75
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.QueryStepRefinesMap.smt2,,88.19
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.RedirectRefinesMap.smt2,,88.2
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.RefinesInit.smt2,,86.87
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.RefinesNext.smt2,,86.85
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.RefinesNextStep.smt2,,87.96
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.SuccQueryStepRefinesMap.smt2,,88.75
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Alloc.smt2,,89.32
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.CanGCRefs.smt2,,88.79
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.ClosedUnderPredecessor.smt2,,89.9
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.GC.smt2,,88.9
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.GetPenultimateState.smt2,,89.19
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Init.smt2,,88.33
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Inv.smt2,,88.33
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.IsStatePath.smt2,,88.51
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.LiveDataAvailable.smt2,,90.53
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.LiveReferences.smt2,,88.45
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.LookupIsValid.smt2,,88.21
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Next.smt2,,88.67
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.NextStep.smt2,,88.45
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.OpStep.smt2,,88.96
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Predecessors.smt2,,88.9
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.ReachableReference.smt2,,88.89
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Read.smt2,,88.66
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.ReadStep.smt2,,88.47
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.RefGraphIsClosed.smt2,,88.85
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Transaction.smt2,,88.68
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Write.smt2,,89.32
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.AllocPreservesInv.smt2,,88.26
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.GCPreservesInv.smt2,,89.95
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.GetPenultimateState.smt2,,88.98
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.InitImpliesInv.smt2,,88.62
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.JoinTransactions.smt2,,88.99
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.MakeTransaction1.smt2,,88.75
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.MakeTransaction2.smt2,,89.2
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.MakeTransaction3.smt2,,88.54
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.NextPreservesInv.smt2,,89.08
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.NextStepPreservesInv.smt2,,88.69
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.OpStepPreservesInv.smt2,,91.9
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.SplitTransaction.smt2,,89.2
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.Transaction0Steps.smt2,,88.17
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.Transaction1Steps.smt2,,88.59
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.Transaction2Steps.smt2,,88.98
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.Transaction3Steps.smt2,,88.68
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.TransactionPreservesInv.smt2,,88.85
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.WritePreservesInv.smt2,,88.26
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.EditIsLocal.smt2,,87.58
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.FirstInGraph.smt2,,87.14
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsAcyclic.smt2,,86.55
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsClosed.smt2,,86.6
