benchmark,config,avg_sim
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.GCStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.GetLookup.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.GetValue.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.GrowStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.I.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.IView.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.InsertMessageStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.LookupImpliesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.PreservesLookupsImplInterpsEqual.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.PreservesLookupsPutImplInterpsPut.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.QueryStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.RedirectRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.RefinesInit.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.RefinesNext.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.RefinesNextStep.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.CheckWellformed__Betree__Refines__Map.__default.SuccQueryStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.BetreeStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.FlushStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.GCStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.GrowStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.InsertMessageStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.LookupImpliesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.PreservesLookupsImplInterpsEqual.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.PreservesLookupsPutImplInterpsPut.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.PreservesLookupsRev.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.PreservesLookupsRevExcept.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.QueryStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.RedirectRefinesMap.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.RefinesInit.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.RefinesNext.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.RefinesNextStep.smt2,,0.06
d_fvbkv/Betree-Betree_Refines_Map.i.dfy.Impl__Betree__Refines__Map.__default.SuccQueryStepRefinesMap.smt2,,0.06
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Alloc.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.CanGCRefs.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.ClosedUnderPredecessor.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.GC.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.GetPenultimateState.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Init.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Inv.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.IsStatePath.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.LiveDataAvailable.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.LiveReferences.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.LookupIsValid.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Next.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.NextStep.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.OpStep.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Predecessors.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.ReachableReference.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Read.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.ReadStep.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.RefGraphIsClosed.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Transaction.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.CheckWellformed__BlockInterface.__default.Write.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.AllocPreservesInv.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.GCPreservesInv.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.GetPenultimateState.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.InitImpliesInv.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.JoinTransactions.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.MakeTransaction1.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.MakeTransaction2.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.MakeTransaction3.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.NextPreservesInv.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.NextStepPreservesInv.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.OpStepPreservesInv.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.SplitTransaction.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.Transaction0Steps.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.Transaction1Steps.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.Transaction2Steps.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.Transaction3Steps.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.TransactionPreservesInv.smt2,,0.11
d_fvbkv/Betree-BlockInterface.i.dfy.Impl__BlockInterface.__default.WritePreservesInv.smt2,,0.11
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.EditIsLocal.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.FirstInGraph.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsAcyclic.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsClosed.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsCycle.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsPath.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsPathFromTo.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.IsSimple.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.NewNodesAreCycleFree.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.NewPath.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.NewlyReachableReferences.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.ReachableReferences.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.Root.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.UnallocPreservesAcyclic.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__Graph.__default.UndoLocalEdit.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.CheckWellformed__ReferenceType.__default.Root.smt2,,0.25
d_fvbkv/Betree-Graph.i.dfy.Impl__Graph.__default.AcyclicGraphImpliesSimplePath.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.Impl__Graph.__default.LocalEditPreservesAcyclic.smt2,,0.15
d_fvbkv/Betree-Graph.i.dfy.Impl__Graph.__default.UnallocPreservesAcyclic.smt2,,0.15
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.GetPenultimateState.smt2,,0.15
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.IsStatePath.smt2,,0.15
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.MakeTransaction1.smt2,,0.15
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.MakeTransaction2.smt2,,0.15
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.MakeTransaction3.smt2,,0.15
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.OpTransaction.smt2,,0.15
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.Reads.smt2,,0.15
d_fvbkv/Betree-Transactable.i.dfy.CheckWellformed__Transactable.__default.Transaction1Steps.smt2,,0.15
