benchmark,config,total_time,result,status
1449.0.smt2,wopass-1010,0.3,unsat,ok
1449.0.smt2,wopass-1111,0.33,unsat,ok
1449.0.smt2,wopass-2222,0.34,unsat,ok
1449.0.smt2,wopass-3333,0.26,unsat,ok
1449.0.smt2,wopass-4444,0.27,unsat,ok
1449.0.smt2,wopass-5555,0.36,unsat,ok
1449.0.smt2,wopass-6666,0.36,unsat,ok
1449.0.smt2,wopass-7777,0.36,unsat,ok
1449.0.smt2,wopass-8888,0.34,unsat,ok
1449.0.smt2,wopass-9999,0.36,unsat,ok
1449.1.smt2,wopass-1010,0.27,unsat,ok
1449.1.smt2,wopass-1111,0.26,unsat,ok
1449.1.smt2,wopass-2222,0.29,unsat,ok
1449.1.smt2,wopass-3333,0.22,unsat,ok
1449.1.smt2,wopass-4444,0.26,unsat,ok
1449.1.smt2,wopass-5555,0.24,unsat,ok
1449.1.smt2,wopass-6666,0.25,unsat,ok
1449.1.smt2,wopass-7777,0.24,unsat,ok
1449.1.smt2,wopass-8888,0.3,unsat,ok
1449.1.smt2,wopass-9999,0.25,unsat,ok
1449.2.smt2,wopass-1010,0.41,unsat,ok
1449.2.smt2,wopass-1111,0.31,unsat,ok
1449.2.smt2,wopass-2222,0.33,unsat,ok
1449.2.smt2,wopass-3333,0.31,unsat,ok
1449.2.smt2,wopass-4444,0.41,unsat,ok
1449.2.smt2,wopass-5555,0.34,unsat,ok
1449.2.smt2,wopass-6666,0.29,unsat,ok
1449.2.smt2,wopass-7777,0.35,unsat,ok
1449.2.smt2,wopass-8888,0.34,unsat,ok
1449.2.smt2,wopass-9999,0.32,unsat,ok
1449.3.smt2,wopass-1010,14.44,unsat,ok
1449.3.smt2,wopass-1111,9.25,unsat,ok
1449.3.smt2,wopass-2222,7.9,unsat,ok
1449.3.smt2,wopass-3333,12.47,unsat,ok
1449.3.smt2,wopass-4444,18.72,unsat,ok
1449.3.smt2,wopass-5555,16.55,unsat,ok
1449.3.smt2,wopass-6666,20.64,unsat,ok
1449.3.smt2,wopass-7777,1.61,unsat,ok
