benchmark,config,norm_time,total_time,sha256sum,result,status
1435.1.smt2,wpass-5555,0.0,0.02,2cb34a140b7ab59b13f990ae8c4b4f1e976c1608904a878615193eb23667d928,unsat,ok
1435.1.smt2,wpass-6666,0.0,0.02,2cb34a140b7ab59b13f990ae8c4b4f1e976c1608904a878615193eb23667d928,unsat,ok
1435.1.smt2,wpass-7777,0.0,0.02,2cb34a140b7ab59b13f990ae8c4b4f1e976c1608904a878615193eb23667d928,unsat,ok
1435.1.smt2,wpass-8888,0.0,0.02,2cb34a140b7ab59b13f990ae8c4b4f1e976c1608904a878615193eb23667d928,unsat,ok
1435.1.smt2,wpass-9999,0.0,0.02,2cb34a140b7ab59b13f990ae8c4b4f1e976c1608904a878615193eb23667d928,unsat,ok
1435.2.smt2,wpass-1010,0.0,0.02,d974f7bfc13df372a4114e67783ca72860188b9cc7bca28ae190d298a629d453,unsat,ok
1435.2.smt2,wpass-1111,0.0,0.02,d974f7bfc13df372a4114e67783ca72860188b9cc7bca28ae190d298a629d453,unsat,ok
1435.2.smt2,wpass-2222,0.0,0.02,d974f7bfc13df372a4114e67783ca72860188b9cc7bca28ae190d298a629d453,unsat,ok
1435.2.smt2,wpass-3333,0.0,0.02,d974f7bfc13df372a4114e67783ca72860188b9cc7bca28ae190d298a629d453,unsat,ok
1435.2.smt2,wpass-4444,0.0,0.02,d974f7bfc13df372a4114e67783ca72860188b9cc7bca28ae190d298a629d453,unsat,ok
1435.2.smt2,wpass-5555,0.0,0.02,d974f7bfc13df372a4114e67783ca72860188b9cc7bca28ae190d298a629d453,unsat,ok
1435.2.smt2,wpass-6666,0.0,0.02,d974f7bfc13df372a4114e67783ca72860188b9cc7bca28ae190d298a629d453,unsat,ok
1435.2.smt2,wpass-7777,0.0,0.02,d974f7bfc13df372a4114e67783ca72860188b9cc7bca28ae190d298a629d453,unsat,ok
1435.2.smt2,wpass-8888,0.0,0.02,d974f7bfc13df372a4114e67783ca72860188b9cc7bca28ae190d298a629d453,unsat,ok
1435.2.smt2,wpass-9999,0.0,0.02,d974f7bfc13df372a4114e67783ca72860188b9cc7bca28ae190d298a629d453,unsat,ok
1435.3.smt2,wpass-1010,0.001,2.95,3d4f3b83ff55ff7e9c2a186bfa9280a1ee78242f04f8258e92b0d555310031d1,unsat,ok
1435.3.smt2,wpass-1111,0.001,3.4,3d4f3b83ff55ff7e9c2a186bfa9280a1ee78242f04f8258e92b0d555310031d1,unsat,ok
1435.3.smt2,wpass-2222,0.001,3.25,3d4f3b83ff55ff7e9c2a186bfa9280a1ee78242f04f8258e92b0d555310031d1,unsat,ok
1435.3.smt2,wpass-3333,0.001,2.94,3d4f3b83ff55ff7e9c2a186bfa9280a1ee78242f04f8258e92b0d555310031d1,unsat,ok
1435.3.smt2,wpass-4444,0.001,2.99,3d4f3b83ff55ff7e9c2a186bfa9280a1ee78242f04f8258e92b0d555310031d1,unsat,ok
1435.3.smt2,wpass-5555,0.001,3.04,3d4f3b83ff55ff7e9c2a186bfa9280a1ee78242f04f8258e92b0d555310031d1,unsat,ok
1435.3.smt2,wpass-6666,0.001,3.13,3d4f3b83ff55ff7e9c2a186bfa9280a1ee78242f04f8258e92b0d555310031d1,unsat,ok
1435.3.smt2,wpass-7777,0.001,3.03,3d4f3b83ff55ff7e9c2a186bfa9280a1ee78242f04f8258e92b0d555310031d1,unsat,ok
1435.3.smt2,wpass-8888,0.001,2.93,3d4f3b83ff55ff7e9c2a186bfa9280a1ee78242f04f8258e92b0d555310031d1,unsat,ok
1435.3.smt2,wpass-9999,0.001,2.95,3d4f3b83ff55ff7e9c2a186bfa9280a1ee78242f04f8258e92b0d555310031d1,unsat,ok
1435.4.smt2,wpass-1010,0.001,1.45,a657a6ab398c445d7646a48d41f6a02b6a72112e26d802341ba15f35da337a88,unsat,ok
1435.4.smt2,wpass-1111,0.001,1.32,a657a6ab398c445d7646a48d41f6a02b6a72112e26d802341ba15f35da337a88,unsat,ok
1435.4.smt2,wpass-2222,0.001,1.45,a657a6ab398c445d7646a48d41f6a02b6a72112e26d802341ba15f35da337a88,unsat,ok
1435.4.smt2,wpass-3333,0.001,1.44,a657a6ab398c445d7646a48d41f6a02b6a72112e26d802341ba15f35da337a88,unsat,ok
1435.4.smt2,wpass-4444,0.001,1.35,a657a6ab398c445d7646a48d41f6a02b6a72112e26d802341ba15f35da337a88,unsat,ok
1435.4.smt2,wpass-5555,0.001,1.34,a657a6ab398c445d7646a48d41f6a02b6a72112e26d802341ba15f35da337a88,unsat,ok
1435.4.smt2,wpass-6666,0.001,1.53,a657a6ab398c445d7646a48d41f6a02b6a72112e26d802341ba15f35da337a88,unsat,ok
1435.4.smt2,wpass-7777,0.001,1.41,a657a6ab398c445d7646a48d41f6a02b6a72112e26d802341ba15f35da337a88,unsat,ok
1435.4.smt2,wpass-8888,0.001,1.38,a657a6ab398c445d7646a48d41f6a02b6a72112e26d802341ba15f35da337a88,unsat,ok
1435.4.smt2,wpass-9999,0.001,1.3,a657a6ab398c445d7646a48d41f6a02b6a72112e26d802341ba15f35da337a88,unsat,ok
1438.0.smt2,wpass-1010,0.0,0.4,987ed4a14bb74eb0e6b460b1fdf6f97c3047a859fac190f5891d7f6c6f37cd38,unsat,ok
1438.0.smt2,wpass-1111,0.0,0.49,987ed4a14bb74eb0e6b460b1fdf6f97c3047a859fac190f5891d7f6c6f37cd38,unsat,ok
1438.0.smt2,wpass-2222,0.0,0.49,987ed4a14bb74eb0e6b460b1fdf6f97c3047a859fac190f5891d7f6c6f37cd38,unsat,ok
1438.0.smt2,wpass-3333,0.0,0.45,987ed4a14bb74eb0e6b460b1fdf6f97c3047a859fac190f5891d7f6c6f37cd38,unsat,ok
1438.0.smt2,wpass-4444,0.0,0.37,987ed4a14bb74eb0e6b460b1fdf6f97c3047a859fac190f5891d7f6c6f37cd38,unsat,ok
1438.0.smt2,wpass-5555,0.0,0.37,987ed4a14bb74eb0e6b460b1fdf6f97c3047a859fac190f5891d7f6c6f37cd38,unsat,ok
1438.0.smt2,wpass-6666,0.0,0.4,987ed4a14bb74eb0e6b460b1fdf6f97c3047a859fac190f5891d7f6c6f37cd38,unsat,ok
1438.0.smt2,wpass-7777,0.0,0.41,987ed4a14bb74eb0e6b460b1fdf6f97c3047a859fac190f5891d7f6c6f37cd38,unsat,ok
1438.0.smt2,wpass-8888,0.0,0.43,987ed4a14bb74eb0e6b460b1fdf6f97c3047a859fac190f5891d7f6c6f37cd38,unsat,ok
1438.0.smt2,wpass-9999,0.0,0.34,987ed4a14bb74eb0e6b460b1fdf6f97c3047a859fac190f5891d7f6c6f37cd38,unsat,ok
1438.1.smt2,wpass-1010,0.0,0.29,dbeeac536ff3285eb37ae9fca3cfa2a477f2b32ec901444959d7cf5658553679,unsat,ok
1438.1.smt2,wpass-1111,0.0,0.24,dbeeac536ff3285eb37ae9fca3cfa2a477f2b32ec901444959d7cf5658553679,unsat,ok
1438.1.smt2,wpass-2222,0.0,0.3,dbeeac536ff3285eb37ae9fca3cfa2a477f2b32ec901444959d7cf5658553679,unsat,ok
1438.1.smt2,wpass-3333,0.0,0.32,dbeeac536ff3285eb37ae9fca3cfa2a477f2b32ec901444959d7cf5658553679,unsat,ok
1438.1.smt2,wpass-4444,0.0,0.27,dbeeac536ff3285eb37ae9fca3cfa2a477f2b32ec901444959d7cf5658553679,unsat,ok
1438.1.smt2,wpass-5555,0.0,0.3,dbeeac536ff3285eb37ae9fca3cfa2a477f2b32ec901444959d7cf5658553679,unsat,ok
1438.1.smt2,wpass-6666,0.0,0.31,dbeeac536ff3285eb37ae9fca3cfa2a477f2b32ec901444959d7cf5658553679,unsat,ok
1438.1.smt2,wpass-7777,0.0,0.36,dbeeac536ff3285eb37ae9fca3cfa2a477f2b32ec901444959d7cf5658553679,unsat,ok
1438.1.smt2,wpass-8888,0.0,0.3,dbeeac536ff3285eb37ae9fca3cfa2a477f2b32ec901444959d7cf5658553679,unsat,ok
1438.1.smt2,wpass-9999,0.0,0.32,dbeeac536ff3285eb37ae9fca3cfa2a477f2b32ec901444959d7cf5658553679,unsat,ok
